en,es,pt
Liver Toxicity & Issues,Toxicidad y problemas del hígado,Toxicidade e problemas Hepáticos
"Tendonitis, Plantar Fasciitis & Heel Spurs","Tendinitis, fascitis plantar y espolón del talón","Tendinite, Fasceíte Plantar e de Calcanhar"
"Respiratory Issues, Sore Throat & Tonsils","Problemas respiratorios, dolor de garganta y amígdalas","Problemas Respiratórios, Dor de Garganta e Amígdalas"
Bedwetting & Incontinence,Mojar la cama e incontinencia,Enurese e Incontinência
Colitis & Intestinal Infections,Colitis e infecciones del intestino,Colite e Infecções Intestinais
Cancer & Autoimmune Disorders,Cáncer y trastornos autoinmunes,Câncer e Distúrbios Autoimunes
"Fungal, Bacterial & Viral Infections","Infecciones causadas por hongos, bacterias y virales","Infecções bacterianas, fúngicas e virais"
"Nausea, Vomiting, Abdominal Pain & Bloating","Náuseas, vómitos, dolor abdominal e hinchazón","Náusea, vômito, dor abdominal e inchaço"
"Dry Skin & Hair, Acne, Eczema, Psoriasis","Piel y cabello seco, acné, eccema, psoriasis","Pele e cabelo secos, Acne, Eczema, Psoríase"
"Aging Skin & Collagen Production, Wound Healing","Envejecimiento de la piel y producción de colágeno, cicatrización de heridas","Envelhecimento da pele e produção de colágeno, cicatrização de feridas"
Headaches & Migraines,Dolores de cabeza y migrañas,Dores de cabeça e Enxaquecas
Restless Leg & Poor Circulation,Síndrome de la pierna inquieta y circulación deficiente,Pernas Inquietas e Circulação Ruim
"Poor Urine Flow, Edema & Toxemia","Flujo de orina deficiente, edema y toxemia","Fluxo insuficiente de urina, edema e toxemia"
Bed Wetting & Incontinence,Mojar la cama e incontinencia,Enurese e incontinência
Varicose Veins & Hemorrhoids,Venas varicosas y hemorroides,Varizes e Hemorroidas
Cellulite,Celulitis,Celulite
Whooping & Spastic Cough,Tos convulsa y espástica,Coqueluche e Tosse Convulsiva
"Prostate, Pancreas & Ovary Issues","Problemas de la próstata, el páncreas y los ovarios","Problemas de Próstata, Pâncreas e Ovário"
Liver & Gallbladder Decongestant,Descongestionante hepático y biliar,Descongestionante do Fígado e Vesícula Biliar
"Heavy Periods, Endometriosis & Fibroids","Períodos abundantes, endometriosis y fibromas","Períodos menstruais difíceis, endometriose e miomas"
Calming & Energizing,Tranquilizante y energizante,Calmante e energizante
Emotional Balance,Equilibrio emocional,Equilíbrio emocional
Connective Tissue & Muscle Injuries,Lesiones del tejido conectivo y musculares,Lesões do Tecido Conjuntivo e Músculos
"Arthritis, Rheumatism & Gout","Artritis, reumatismo y gota","Artrite, Reumatismo e Gota"
Muscle Pain & Spasms,Dolores y espasmos musculares,Dor Muscular e Espasmos
Fever,Fiebre,Febre
"Bone Spurs, Gallstones, Kidney Stones & Cataracts","Proyecciones en el hueso, cálculos biliares, cálculos renales y cataratas","Esporões Ósseos, Pedras na Vesícula, Pedras nos Rins e Catarata"
Ulcers & Cramps,Úlceras y calambres,Úlceras e Cãibras
Broken Bones & Tooth Pain,Huesos rotos y dolor de muelas,Ossos Quebrados e Dor de Dente
Emotional Balance,Equilibrio emocional,Equilíbrio emocional
Congestion,Congestión,Congestão
Stomach Ache & Constipation,Dolor de estómago y estreñimiento,Dor de Estômago e Constipação
Colitis & Diarrhea,Colitis y diarrea,Colite e Diarreia
Gastritis & Stomach Ulcers,Gastritis y úlceras estomacales,Gastrite e Úlceras Estomacais
Menstrual & Muscular Pain,Dolor menstrual y muscular,Dor Menstrual e Muscular
Sore Throat & Fever,Dolor de garganta y fiebre,Dor de garganta e febre
Cataracts,Cataratas,Catarata
Mental Fatigue & Confusion,Fatiga mental y confusión,Fadiga Mental e Confusão
Pancreatitis,Pancreatitis,Pancreatite
Bad Breath & Household Odors,Mal aliento y olores del hogar,Hálito Ruim e Odores Domésticos
Cooking,Para cocinar,Cozinha
Emotional Balance,Equilibrio emocional,Equilíbrio emocional
"Constipation, Diarrhea & Gas","Estreñimiento, diarrea y flatulencia","Prisão de Ventre, Diarreia e Gases"
"Respiratory, Lymphatic Drainage & Cleansing",Drenaje y limpieza respiratoria y linfática,Drenagem Linfática e Respiratória e Limpeza
Poor Circulation & Cold Extremities,Circulación deficiente y extremidades frías,Extremidades frias e má circulação
Cataracts,Cataratas,Catarata
"Cold, Flu, Aches & Chills","Resfriados, gripe, dolores y escalofríos","Resfriado, Gripe, Dores e Calafrios"
Congested Airways,Vías respiratorias congestionadas,Vias Aéreas Congestionadas
Food Flavor,Sabor de los alimentos,Sabor dos Alimentos
Anxiety,Ansiedad,Ansiedade
"Cramps, Sprains & Muscle Spasms","Calambres, esguinces y espasmos musculares","Cãibras, Entorses e Espasmos Musculares"
Smoking,Fumar,Tabagismo
Cold Extremities,Extremidades frías,Extremidades frias
Upset Stomach & Vomiting,Malestar estomacal y vómitos,Gastrite Nervosa e Vômito
"Detox for Ear, Nose, Throat & Lungs","Desintoxicante de oídos, nariz, garganta y pulmones","Desintoxicação para Ouvido, Nariz, Garganta e Pulmões"
Water Retention & Kidney Infection,Retención de líquidos e infección renal,Retenção de água e Infecção Renal
Viruses & Bacteria,Virus y bacterias,Vírus e bactérias
Blood Sugar Balance,Regulación del contenido de azúcar en la sangre,Equilíbrio do Açúcar no Sangue
Metabolism Boost,Refuerzo para el metabolismo,Aumento do Metabolismo
Sexual Drive,Deseo sexual,Impulso Sexual
Cooking,Para cocinar,Cozinha
Emotional Balance,Equilibrio emocional,Equilíbrio emocional
Heavy Metal Detox,Desintoxicación de metales pesados,Desintoxicação de Metais Pesados
"Gas, Bloating & Constipation","Flatulencia, hinchazón y estreñimiento","Gases, Inchaço e Constipação"
Allergies,Alergias,Alergias
Liver & Kidney Support,Refuerzo para el hígado y el riñón,Suporte do Fígado e do Rim
Fungal & Bacterial Infections,Infecciones causadas por hongos y bacterias,Infecções fúngicas e bacterianas
Cooking,Para cocinar,Cozinha
Body Odor,Mal olor corporal,Odor corporal
Anxiety,Ansiedad,Ansiedade
Emotional Balance,Equilibrio emocional,Equilíbrio emocional
Mental Fog & Low Energy,Confusión mental y energía baja,Nevoa Mental e Baixa Energia
Depression & Tension,Depresión y tensión,Depressão e Tensão
Congestion & Sinus Issues,Problemas de congestión y sinusales,Congestão e problemas nasais
Respiratory Infection & Cough,Infección respiratoria y tos,Infecção Respiratória e Tosse
Muscle & Joint Soreness,Molestia muscular y articular,Dor muscular e articular
Rheumatic & Arthritic Conditions,Condiciones reumáticas y artritis,Condições artríticas e reumáticas
Constipation,Estreñimiento,Prisão de ventre
Skin Irritations & Cuts,Irritaciones y cortes en la piel,Irritação da pele e Cortes
Cellulite & Skin Cleansing,Celulitis y limpieza de la piel,Celulite e Limpeza da pele
Emotional Balance,Equilibrio emocional,Equilíbrio emocional
"Congestion, Cough, Bronchitis  & Pneumonia","Congestión, tos, bronquitis y neumonía","Congestão, Tosse, Bronquite e Pneumonia"
"Shingles, Malaria, Cold & Flu","Culebrilla, malaria, resfriados y gripe","Herpes, malária, resfriado e gripe"
"Asthma, Sinusitis & Respiratory","Asma, sinusitis y problemas respiratorios","Asma, Sinusite e Respiratório"
Fever & Heat Sensitivity,Fiebre y sensibilidad al calor,Febre e Sensibilidade ao calor
Muscle Fatigue & Pain,Fatiga y dolor muscular,Fadiga Muscular e Dor
Kidney Stones,Cálculos renales,Pedras nos rins
Cellulite,Celulitis,Celulite
Earaches,Dolor de oídos,Dores de Ouvido
Breast Issues & Cancer,Problemas y cáncer de mama,Problemas de mama e câncer
Mental Sluggishness,Lentitud mental,Lentidão mental
Dust Mites,Ácaros de polvo,Ácaros
Cleaning Disinfectant,Limpiador desinfectante,Desinfetante de limpeza
Emotional Balance,Equilibrio emocional,Equilíbrio emocional
"Spasms, Cramps & Sore Muscles","Espasmos, calambres y músculos adoloridos","Espasmos, cãibras e músculos doloridos"
"Nausea, Morning Sickness & Loss of Appetite","Náuseas, náuseas del embarazo y pérdida del apetito","Náusea, Enjoo matinal e Perda de apetite"
Motion Sickness & Vertigo,Mareo por movimiento y vértigo,Enjoo de movimento e Vertigem
Memory & Brain Support,Refuerzo para la memoria y el cerebro,Memória e Auxílio Cerebral
Heartburn & Reflux,Acidez y reflujo,Azia e Refluxo
Alcohol Addiction,Adicción al alcohol,Alcoolismo
Hormone & Blood Sugar Imbalances,Desequilibrios hormonales y del azúcar en la sangre,Desequilíbrio hormonal e de açúcar no sangue
Colic & Constipation,Cólicos y estreñimiento,Cólicas e Constipação
Neurotransmitter Deficiencies,Deficiencias neurotransmisoras,Deficiências de neurotransmissores
"Congestion, Sinusitis & Laryngitis","Congestión, sinusitis y laringitis","Congestão, sinusite e laringite"
"Cold, Flu & Sore Throat","Resfriados, gripe y dolor de garganta","Resfriado, gripe e dor de garganta"
Sprains & Broken Bones,Esguinces y huesos rotos,Entorses e ossos quebrados
Emotional Balance,Equilibrio emocional,Equilíbrio emocional
Wrinkles & Stretch Marks,Arrugas y estrías,Rugas e Estrias
"Nosebleeds, Bleeding & Hemorrhaging","Hemorragia nasal, sangrado y hemorragia","Hemorragias nasais, sangramentos e hemorragias"
"Scars, Wounds & Bruising","Cicatrices, heridas y moretones","Cicatrizes, feridas e contusões"
"Shock, Pain Relief & Nerve Damage","Shock, analgésico y daño en los nervios","Choque, alívio da dor e danos nos nervos"
Alcohol Addiction,Adicción al alcohol,Alcoolismo
Psoriasis & Skin Conditions,Psoriasis y enfermedades cutáneas,Psoríase e condições da pele
Varicose Veins,Venas varicosas,Varizes
Tinnitis & Earache,Tinnitus y dolor de oído,Zumbido e dor de ouvido
Sinus Congestion,Congestión sinusal,Congestão sinusal
Liver Issues & Heavy Metal Toxicity,Problemas hepáticos y toxicidad de metales pesados,Problemas hepáticos e toxicidade por metais pesados
Emotional Balance,Equilibrio emocional,Equilíbrio emocional
Depression & Anxiety,Depresión y ansiedad,Depressão e Ansiedade
"Uterine Health, Labor & Delivery",Salud uterina y parto,"Saúde uterina, trabalho de parto e parto"
Fine Lines & Wrinkles,Líneas de expresión y arrugas,Linhas Finas e Rugas
Pinkeye,Conjuntivitis,Conjuntivite
Exhaustion,Agotamiento,Exaustão
Irritated & Dry Skin,Piel irritada y seca,Pele Irritada e Seca
PMS & Menstrual Issues,Síndrome premenstrual y problemas menstruales,TPM e Problemas Menstruais
Ovulation & Fertility,Ovulación y fertilidad,Ovulação e Fertilidade
Perfume,Perfume,Perfume
Emotional Balance,Equilibrio emocional,Equilíbrio emocional
"Jaundice, Liver Issues & Detox","Ictericia, problemas hepáticos y desintoxicación","Icterícia, problemas do fígado e desintoxicação"
Kidney Stones & Infection,Cálculos e infección renales,Pedras e infecção nos rins
Acne & Psoriasis,Acné y psoriasis,Acne e psoríase
Urinary Health & Water Retention,Salud urinaria y retención de líquidos,Saúde Urinária e Retenção de Água
Sore Joints & Muscles,Dolor de articulaciones y músculos,Articulações e músculos doloridos
Bacteria & Viruses,Bacterias y virus,Bactérias e vírus
High Cholesterol & Blood Sugar Levels,Niveles altos de colesterol y azúcar en la sangre,Níveis elevados de colesterol e açúcar no sangue
"Tension, Stress & Depression","Tensión, estrés y depresión","Tensão, Estresse e Depressão"
Emotional Balance,Equilibrio emocional,Equilíbrio emocional
Sore Throat,Dolor de garganta,Dor de garganta
"Respiratory, Lymph & Liver Congestion","Congestión respiratoria, linfática y hepática","Congestão Respiratória, Linfática e Hepática"
Urinary & Digestive Issues,Problemas urinarios y digestivos,Problemas urinários e digestivos
Memory & Clarity,Memoria y claridad,Memória e Clareza
Exhaustion & Depression,Agotamiento y depresión,Exaustão e Depressão
Herpes & Cold Sores,Herpes y herpes labial,Herpes e Aftas
Chicken Pox,Varicela,Catapora
Head Lice,Piojos,Piolhos
Pain & Inflammation,Dolor e inflamación,Dor e Inflamação
Emotional Balance,Equilibrio emocional,Equilíbrio emocional
"Asthma Attack, Spastic Coughs, Bronchitis","Ataques de asma, tos espástica, bronquitis","Ataque de Asma, Tosse Espástica, Bronquite"
Acute & Chronic Back Pain,Dolor de espalda aguda y crónica,Dor nas costas aguda e crônica
"Eczema, Acne & Oily Skin","Eccema, acné y piel grasa","Eczema, acne e pele oleosa"
"High Blood Pressure, Irregular Heartbeat, Anxiety","Hipertensión, latidos irregulares, ansiedad","Pressão arterial alta, batimento cardíaco irregular, ansiedade"
"Cough, Cold, Chills & Infections","Tos, resfriados, escalofríos e infecciones","Tosse, resfriado, calafrios e infecções"
"Seasonal Blues, Negative Thinking or Speaking","Melancolía, pensar o hablar negativamente por temporadas","Tristeza sazonal, fala ou pensamento negativo"
"Nervous Tension, Headaches, Stressed Mind","Tensión nerviosa, dolores de cabeza, mente estresada","Tensão Nervosa, Dores de Cabeça, Mente Estressada"
"Nausea, Motion Sickness, Indigestion, Poor Appetite","Náuseas, mareo por movimiento, indigestión, falta de apetito","Náusea, enjoo de movimento, indigestão, falta de apetite"
"Cellulite, Excessive Perspiration, Athlete‰ÛªS Foot","Celulitis, transpiración excesiva, pie de atleta","Celulite, Transpiração Excessiva, Pé de Atleta"
Emotional Balance,Equilibrio emocional,Equilíbrio emocional
"Anxiety, Depression & Lack of Energy","Ansiedad, depresión y falta de energía","Ansiedade, Depressão e Falta de Energia"
"Irritability, Anger & Rage, Hysteria, Panic, Grief & Shock","Irritabilidad, ira y rabia, histeria, pánico, duelo y shock","Irritabilidade, Ira e Raiva, Histeria, Pânico, Sofrimento e Choque"
"Respiratory, Sinus & Lymphatic Congestion","Congestión respiratoria, sinusal y linfática","Congestão Respiratória, Sinusal e Linfática"
"Libido & Sex Drive, Breast & Prostate Issues","Problemas de la libido y deseo sexual, de senos y la próstata","Libido e Impulso Sexual, Problemas de mama e de próstata"
"Stressed, Worried, Uptight & Tense","Estresado, preocupado y tenso","Estressado, Preocupado, Nervoso e Tenso"
"Lack of Ability to Receive Love, Weak Heart Chakra","Falta de capacidad para recibir amor, Chakra del corazón débil","Incapacidade de receber amor, chakra do coração fraco"
"Abrasions & Wounds, Skin Irritations, Scars","Abrasiones y heridas, irritaciones de la piel, cicatrices","Abrasões e feridas, irritações da pele, cicatrizes"
Acne & Dry Skin,Acné y piel seca,Acne e Pele Seca
Insomnia & Sleep Issues,Insomnio y trastornos del sueño,Problemas de insônia e sono
Perfume,Perfume,Perfume
Emotional Balance,Equilibrio emocional,Equilíbrio emocional
"Carpal Tunnel, Tendinitis & Arthritis","Túnel carpiano, tendonitis y artritis","Síndrome de Túnel do Carpo, Tendinite e Artrite"
Muscle Cramps & Sprains,Calambres y esguinces musculares,Cãibras Musculares e Entorses
High Blood Pressure & Heart Issues,Hipertensión y problemas cardíacos,Pressão arterial alta e problemas cardíacos
Croup & Bronchitis,Crup y bronquitis,Laringite e Bronquite
Pancreatitis,Pancreatitis,Pancreatite
Overactive Sex Drive,Deseo sexual hiperactivo,Impulso sexual Hiperativo
"Boils, Cold Sores & Ringworm","Furúnculos, herpes labial y tiña","Furúnculos, aftas e micose"
Migraines & Headaches,Migrañas y dolores de cabeza,Dores de cabeça e Enxaquecas
Colic & Constipation,Cólicos y estreñimiento,Cólicas e Constipação
Calming & Anxiety,Tranquilizante y ansiedad,Relaxante e Ansiedade
Emotional Balance,Equilibrio emocional,Equilíbrio emocional
Gum Disease & Bleeding,Enfermedad y sangrado de encías,Gengivite e sangramento da gengiva
Fine Lines & Dry Skin,Líneas de expresión y piel seca,Linhas finas e pele seca
Thyroid & Immune Health,Salud de la tiroides e inmune,Tireoide e Saúde Imunológica
Digestive upset & Cramping,Malestar y calambres digestivos,Distúrbio digestivo e cólicas
Eczema & Wounds,Eccema y heridas,Eczema e Feridas
Infection & Virus,Infecciones y virus,Infecção e Vírus
Congestion & Mucus,Congestión y moco,Congestionamento e Muco
Meditation,Meditación,Meditação
Depression & Anxiety,Depresión y ansiedad,Depressão e Ansiedade
Emotional Balance,Equilibrio emocional,Equilíbrio emocional
Anxiety & Dopamine Issues,Problemas de ansiedad y dopamina,Ansiedade e problemas de dopamina
Shingles & Herpes,Culebrilla y herpes,Herpes-Zóster e Herpes
Dry Skin & Dandruff,Piel seca y caspa,Pele Seca e Caspa
Oily Hair & Impetigo,Cabello grasoso e impétigo,Cabelos Oleosos e Impetigo
Nerve Issues,Problemas de los nervios,Problemas nervosos
Body Odor,Mal olor corporal,Odor corporal
Fluid Retention,Retención de líquidos,Retenção de líquidos
Insect & Mosquito Repellent,Repelente de insectos y mosquitos,Repelente de Insetos e Mosquitos
"Insect Bites, Snake Bites & Stings",Mordeduras de insectos y víboras y picaduras,"Picadas de insetos, picadas de cobra e ferroadas"
Digest Toxic Material,Digerir el material tóxico,Digestão de material tóxico
Appetite & Weight Issues,Problemas de apetito y con el peso,Problemas de apetite e peso
Stretch Marks & Skin Issues,Estrías y problemas de la piel,Estrias e problemas de pele
Emotional Balance,Equilibrio emocional,Equilíbrio emocional
Stress & Shock,Estrés y shock,Estresse e choque
"Dry, Irritated & Aging Skin","Envejecimiento, deshidratación e irritación de la piel","Pele Seca, Irritada e Envelhecida"
Lower Blood Pressure,Hipotensión,Pressão arterial baixa
Sciatica & Lower Back Pain,Ciática y dolor en la parte baja de la espalda,Dor Ciática e lombar
Insomnia & Overexcitement,Insomnio y sobrexcitación,Insônia e Excesso de Excitação
PMS & Cramps,Síndrome premenstrual y cólicos,TPM e Cólicas
Fevers & Earaches,Fiebres y dolores de oído,Febres e Dores de Ouvido
"Anger, Irritability & Agitation","Ira, irritabilidad y agitación","Raiva, Irritabilidade e Agitação"
Parasites & Worms,Parásitos y lombrices,Parasitas e vermes
Anorexia,Anorexia,Anorexia
"Insect Bites, Bee & Hornet Stings","Mordeduras de insectos, picaduras de abejas y avispas","Picadas de insetos, ferroadas de abelha e zangão"
Allergies & Itchy Eyes,Alergias y picazón en los ojos,Alergias e coceira nos olhos
Emotional Balance,Equilibrio emocional,Equilíbrio emocional
Respiratory Infections & Conditions,Infecciones y condiciones respiratorias,Infecções e Condições Respiratórias
Prostate Issues & Nighttime Urination,Problemas de la próstata y micción nocturna,Problemas de próstata e micção noturna
Cancer,Cáncer,Câncer
Hair Loss & Dandruff,Pérdida de cabello y caspa,Queda de cabelo e caspa
Memory & Focus,Memoria y enfoque,Memória e Foco
Bell's Palsy & Multiple Sclerosis,Parálisis de Bell y esclerosis múltiple,Paralisia de Bell e Esclerose Múltipla
"Mental, Adrenal & Chronic Fatigue","Fatiga mental, suprarrenal y crónica","Fadiga Mental, Supra-Renal e Crônica"
"Jaundice, Liver & Kidney Issues","Ictericia, problemas hepáticos y renales","Icterícia, fígado e problemas renais"
"Nervousness, Depression, Addiction & Dopamine Issues","Problemas de nerviosismo, depresión, adicción y dopamina","Problemas de dopamina, nervosismo, depressão e vício"
Muscle & Bone Pain,Dolores musculares y óseos,Dor Muscular e Óssea
Cellulite,Celulitis,Celulite
Jet Lag,Jet lag (descompensación horaria),Jet Lag
Fainting,Desmayo,Desmaio
Emotional Balance,Equilibrio emocional,Equilíbrio emocional
"Indigestion, Nausea & Colic","Indigestión, náuseas y cólicos","Indigestão, náusea e cólica"
Bad Breath,Mal aliento,Mau hálito
Bronchitis & Respiratory Issues,Bronquitis y problemas respiratorios,Bronquite e Problemas Respiratórios
"Acne, Sores & Scars","Acné, úlceras y cicatrices","Acne, Feridas e Cicatrizes"
Cooling,Refrescante,Resfriar
Focus Issues,Problemas de enfoque,Problemas de Foco
Depression & Fatigue,Depresión y fatiga,Depressão e Fadiga
Stress & Nervous Issues,Problemas de estrés y nerviosismo,Estresse e Problemas Nervosos
Slow or Heavy Menstruation,Menstruación lenta o excesiva,Menstruação Lenta ou Intensa
Headaches & Migraines,Dolores de cabeza y migrañas,Dores de cabeça e Enxaquecas
Emotional Balance,Equilibrio emocional,Equilíbrio emocional
Aging & Irritated Skin,Envejecimiento e irritación de la piel,Pele Irritada e Envelhecida
"Insomnia, Stress & Tension","Insomnio, estrés y tensión","Insônia, Estresse e Tensão"
PMS & Menstrual Issues,Síndrome premenstrual y problemas menstruales,TPM e Problemas Menstruais
Candida & Vaginal Thrush,Candidiasis y candidiasis vaginal,Cândida e Afta Vaginal
"Convulsions, Seizures & Muscle Spasms","Convulsiones, ataques y espasmos musculares","Espasmos, Convulsões e Espasmos Musculares"
"Detoxing, Diuretic & Cellulite","Desintoxicante, diurético y para la celulitis","Desintoxicação, Diurético e Celulite"
Terminally ill & Hospice,Desahuciado y hospicio,Doença Terminal e Hospitalar
"Ulcers, Gas & Indigestion","Ulceras, flatulencias e indigestión","Úlceras, gases e indigestão"
Pinkeye & Rashes,Conjuntivitis y sarpullidos,Conjuntivite e erupções cutâneas
Perfume,Perfume,Perfume
"Anxiety, Depression & old emotional blocks","Ansiedad, depresión y viejos bloques emocionales","Ansiedade, Depressão e antigos bloqueios emocionais"
Emotional Balance,Equilibrio emocional,Equilíbrio emocional
"Antioxidant, Immune Boost & Cell Protection","Antioxidante, refuerzo del sistema inmunitario y protección celular","Antioxidante, Fortalecimento Imunológico e Proteção Celular"
"Sadness & irritability, impulsiveness","Tristeza e irritabilidad, impulsividad","Impulsividade, Tristeza e Irritabilidade"
"Sleep issues & Anxiety, Nervousness","Problemas de sueño y ansiedad, nerviosismo","Nervosismo, Problemas do Sono e Ansiedade"
"Digestive & Eliminative disturbances, Parasites",Trastornos digestivos y de eliminación parásitos,"Distúrbios Digestivos e de Eliminação, Parasitas"
Overthinking & Feeling Stuck,Pensar de más y sentirse atascado,Pensar excessivamente e sentir-se bloqueado
"Edema, Cellulite, Pocket fat","Edema, celulitis, bolsa de grasa","Edema, celulite, bolsa de gordura"
"Skin Irritations, Rashes & Burns","Irritaciones, sarpullidos y quemaduras de la piel","Irritação da pele, erupções cutâneas e queimaduras"
"Dry, Cracked Skin & Dandruff",Piel seca y agrietada y caspa,"Pele seca, rachada e caspa"
"Congestion, Coughs, Asthma","Congestión, tos, asma","Congestão, tosse e asma"
Boost Metabolism & Weight Loss,Refuerza el metabolismo y la pérdida de peso,Aumento do Metabolismo e Perda de Peso
"Poor Circulation, Convulsions","Circulación deficiente, convulsiones","Má circulação, Convulsões"
Achy Fatigued Muscles & Limbs,Músculos y extremidades adoloridos y fatigados,Músculos e Membros Doloridos e Fatigados
"Arthritis & Muscle Pain, Tension","Artritis y dolor muscular, tensión","Artrite e dores musculares, tensão"
Emotional Balance,Equilibrio emocional,Equilíbrio emocional
"Cold, Flu & Viruses","Resfriados, gripe y virus","Resfriado, Gripe e Vírus"
"Asthma, Croup & Pneumonia","Asma, crup y neumonía","Asma, Laringite e Pneumonia"
Candida & Parasites,Candidiasis y parásitos,Cândida e parasitas
"Infertility, Progesterone, Breast, Ovary & Prostate Issues","Problemas de infertilidad, progesterona, senos, ovarios y próstata","Problemas de infertilidade, progesterona, mama, ovário e próstata"
"Memory, Concentration & Dementia","Memoria, concentración y demencia","Memória, Concentração e Demência"
Low Blood Pressure,Presión arterial baja,Pressão arterial baixa
Incontinence & Bladder Infection,Incontinencia e infección de la vejiga,Incontinência e infecção da bexiga
Fibroids & Cancer,Fibromas y cáncer,Miomas e Câncer
Pain & Sore Muscles,Músculos adoloridos,Dor e músculos doloridos
"Fatigue, Stress & Depression","Fatiga, estrés y depresión","Fadiga, Estresse e Depressão"
Hair Loss,Pérdida de cabello,Perda de cabelo
Emotional Balance,Equilibrio emocional,Equilíbrio emocional
"Brain Fog, Lack of Motivation, Fatigue, Sleep Issues","Niebla cerebral, falta de motivación, fatiga y problemas de sueño","Névoa cerebral, falta de motivação, fadiga, problemas de sono"
"Allergies, Pet Shampoo, Insect Repellent","Alergias, champú para mascotas, repelente de Insectos","Alergias, shampoo para animais, repelente de insetos"
Lung Cancer & Aging,Cáncer de pulmón y envejecimiento,Câncer de pulmão e Envelhecimento
Menstrual & Muscular Aches & Pains,Dolores y molestias menstruales y musculares,Dor Menstrual e Muscular
"ADD, ADHD, Focus & Concentration","ADD, ADHD, enfoque y concentración","DDA, TDAH, Foco e Concentração"
Psoriasis & Eczema,Psoriasis y eccema,Psoríase e Eczema
Calming & Anxiety,Tranquilizante y ansiedad,Relaxante e Ansiedade
Cough & Sinus Issues,Tos y problemas de los senos nasales,Tosse e Congestionamento sinusal
Stroke & Seizures,ACV y convulsiones,AVC e Convulsões
"Urinary Tract, Bladder & Vaginal Infection","Infecciones del tracto urinario, vejiga y vaginales","Infecção do Trato Urinário, Bexiga e Vaginal"
Gum Issues,Enfermedad de las encías,Problemas de Gengiva
Insect Repellent,Repelente de insectos,Repelente de insetos
Acne,Acné,Acne
Emotional Balance,Equilibrio emocional,Equilíbrio emocional
Diabetes & High Blood Sugar,Diabetes e hiperglucemia,Diabetes e Açúcar no Sangue Elevado
Cold & Flu,Refriados y gripe,Gripe e Resfriado
Cholesterol & Heart Issues,Problemas de colesterol y cardíacos,Colesterol e Problemas Cardíacos
Oral Health,Salud oral,Saúde Oral
Fungus & Bacteria,Hongos y bacterias,Fungos e Bactérias
Kidney Infection,Infección renal,Infecção renal
Vaginal Health,Salud vaginal,Saúde Vaginal
Low Libido & Sexual Stimulant,Libido baja y estimulante sexual,Libido Baixa e Estimulante Sexual
Muscle Strain & Pain,Esguince y dolor muscular,Distensão Muscular e Dor
Cooking,Para cocinar,Cozinha
Emotional Balance,Equilibrio emocional,Equilíbrio emocional
Cancer & Tumors,Cáncer y tumores,Câncer e Tumores
Seizures & Trauma,Convulsiones y trauma,Convulsões e Trauma
"Alzheimer's disease, Dementia & Brain Injury","Enfermedad de Alzheimer, demencia y lesión cerebral","Mal de Alzheimer, Demência e Lesão Cerebral"
Depression,Depresión,Depressão
Wound healing & Wrinkles,Cicatrización de heridas y arrugas,Cicatrização de Feridas e Rugas
Scars & Stretch Marks,Cicatrices y estrías,Cicatrizes e Estrias
"Sciatica, Back Pain & Headaches","Ciática, dolor de espalda y dolores de cabeza","Dor ciática, dor nas costas e dores de cabeça"
Immune System & Cellular Health,Salud del sistema inmunitario y celular,Sistema Imunológico e Saúde Celular
Liver Detoxification & Jaundice,Desintoxicante hepático e ictericia,Desintoxicação hepática e Icterícia
Autoimmune Disorders,Trastornos autoinmunes,Transtornos Autoimunes
Warts,Verrugas,Verrugas
"Congestion, Cough & Allergies","Congestión, tos y alergias","Congestão, Tosse e Alergias"
Breast Cancer Prevention,Prevención del cáncer de mama,Prevenção de Câncer de Mama
"Meditation, Prayer & Focus","Meditación, oración y enfoque","Meditação, Oração e Foco"
Emotional Balance,Equilibrio emocional,Equilíbrio emocional
"Depressed, Agitated, Nervous, Inner Child Work","Deprimido, agitado, nervioso, terapia del niño interno","Deprimido, Agitado, Nervoso, Cuidar da Criança Interior"
Situational Anxiety,Ansiedad situacional,Transtorno de Ansiedade Situacional
"Gas, Sluggish Digestion, Constipation, Heartburn & Ulcers","Flatulencia, digestión lenta, estreñimiento, acidez y úlceras","Gás, digestão lenta, constipação, azia e úlceras"
"Poor Circulation, Congested Lymphs, Water Retention","Circulación deficiente, sistema linfático congestionado, retención de líquidos","Má Circulação, Gânglios Linfáticos Congestionados, Retenção de Água"
"Liver & Kidney Detox, Sluggish Bile Flow","Desintoxicación hepática y renal, flujo biliar lento","Desintoxicação do Fígado e do Rim, Fluxo Biliar Lento"
"Acne, Oily Skin, Wounds, Scars","Acné, piel grasa, heridas, cicatrices","Acne, pele oleosa, feridas, cicatrizes"
Imbalanced Blood Sugar & Fat Metabolism & Cholesterol,Contenido de azúcar en la sangre y metabolismo de la grasa desequilibrados y colesterol,"Desequilíbrio do açúcar no sangue, metabolismo das gorduras e colesterol"
"Cough, Respiratory Issues","Tos, problemas respiratorios","Tosse, Problemas Respiratórios"
Skin & Breast Cancer,Cáncer de piel o de mama,Câncer de pele e de mama
"Lack of Energy or Alertness, Mental Fatigue & Dementia","Falta de energía o estado de alerta, fatiga mental y demencia","Falta de energia ou estado de alerta, fadiga mental e demência"
