id,created_at,updated_at,name,image_url,color,latin_name,emotion_1,emotion_2,emotion_3,fact,research,is_featured,safety_information_id,page_number,sort_order,emotion_from,emotion_to,fact Spanish,fact Portuguese,descriptor 1 spanish,descriptor 2 spanish,descriptor 3 spanish,descriptor 1 Portuguese,Descriptor 2 Portuguese,Descriptor 3 Portuguese,Spanish From,Spanish To,Portuguese From,Portuguese To
56,2018-08-28 12:29:43,2019-04-03 12:56:20,Rosemary,oils/3b00ae40f5694e28e7037a149e7840b6.jpeg,8E57A2,Rosmarinus officinalis,Refreshing,Cooling,Clearing,"In ancient times, rosemary was a favorite oil to drive away evil spirits.",,0,55,145,0,Confused,Open-minded,"En los tiempos remotos, el romero fue el aceite favorito para alejar los espíritus malos.","Nos tempos antigos, o alecrim era o óleo favorito para afastar os maus espíritos.",Refrescante,Refrescante,Purificante,Refrescante,Resfriar,Desobstruir,Confundido,Abierto,,
57,2018-08-28 12:29:43,2019-04-03 12:57:19,Sandalwood,oils/df9ba46725ac8b928917de7647e20934.jpeg,DA5161,Santalum album,Calming,Sweet,Woody,Sandalwood has been used for various spiritual and religious uses. Today Hindus still use it to anoint the temple floor and walls to enhance spiritual ambiance.,,0,2,147,0,Uninspired,Devoted,"El sándalo se ha empleado para diferentes usos espirituales y religiosos. Hoy en día, los hindúes todavía lo usan para ungir el piso y las paredes de los templos para mejorar la atmósfera espiritual.","O sândalo tem sido usado para vários usos espirituais e religiosos. Hoje, os hindus ainda a usam para ungir o piso e as paredes do templo para melhorar o ambiente espiritual.",Calmante,Dulce,Leñoso,Acalmar,Doce,Amadeirado,Sin inspiración,Dedicado,,
58,2018-08-28 12:29:43,2019-04-03 12:57:33,Siberian Fir,oils/a00a737d7bd771b0d3f65e1bf22e27bc.jpeg,40B09F,Abies sibirica,Affirming,Vitalizing,Connecting,Siberian fir is believed to have the finest scent of all the firs.,,0,105,149,0,Excluded,Empowered,Se cree que el abeto siberiano tiene el aroma más puro de todos los abetos.,Acredita-se que o abeto siberiano tenha o melhor aroma de todos os abetos.,Afirmante,Vitalizante,De conexión,Afirmativo,Vitalizar,Conectar,Excluido,Empoderado,,
59,2018-08-28 12:29:43,2019-04-03 12:57:58,Spearmint,oils/c959583a4a2f7583eb8d02cda898c373.jpeg,00B6B2,Mentha spicata,Relieving,Uplifting,Promoting,"A common flavor for toothpaste and candy, the ancient Greeks enjoyed bathing with spearmint.",,0,2,150,0,Weary,Refreshed,"Los antiguos griegos disfrutaban de bañarse con menta, un sabor común para cremas dentales y dulces.","Um sabor comum para creme dental e doces, os antigos gregos gostavam de tomar banho com hortelã.",Atenuante,Motivador,Promotor,Aliviar,Edificante,Estimular,Fatigado,Restaurado,,
60,2018-08-28 12:29:43,2019-04-03 12:58:15,Spikenard,oils/c8d2bf3fe35c0fdc9ba132f552db2745.jpeg,C92B0E,Nardostachys jatamansi,Healing,Rejuvenating,Uplifting,"Spikenard, one of the Romans' favorite perfumes, is featured in the bible several times.",,0,2,151,0,Agitated,Tranquil,"La nuez moscada, uno de los perfumes favoritos de los romanos, se presenta en la Biblia varias veces.","O nardo, um dos perfumes favoritos dos romanos, é apresentado várias vezes na bíblia.",Cicatrizante,Rejuvenecedor,Motivador,Curar,Rejuvenescer,Edificante,Afligido,Tranquilo,,
61,2018-08-28 12:29:43,2019-04-03 12:58:31,Tangerine,oils/e8c2c6fd66a93200707c0fdb416d7df4.jpeg,ED5C02,Citrus reticulata,Calming,Clearing,Uplifting,"Tangerine has been used for over 3,000 years and remains valuable in integrative medicine.",,0,15,152,0,Oppressed,Restored,La tangerina se ha utilizado por más de 3000 años y sigue siendo valiosa en la medicina integrativa.,A tangerina é usada há mais de 3.000 anos e continua valiosa na medicina integrativa.,Calmante,Purificante,Motivador,Acalmar,Desobstruir,Edificante,Oprimido,Restaurado,,
62,2018-08-28 12:29:43,2019-04-03 12:58:48,Thyme,oils/0ad350d97e91eb4ed0ada004a2b7a30f.jpeg,E3E507,Thymus vulgaris,Resolving,Powerful,Expelling,"Thyme means ""to fumigate"" in Greek, and is one of the most potent antioxidant essential oils.",,0,55,153,0,Unyielding,Yielding,"Tomillo significa ""fumigar"" en griego, y es uno de los aceites esenciales antioxidantes más potentes.","""Thyme"" (tomilho) significa ""perfumar"" em grego, e é um dos óleos essenciais antioxidantes mais potentes.",Remediador,Poderoso,Expulsar,Resolução,Poderoso,Expulsar,Inflexible,Flexible,,
63,2018-08-28 12:29:43,2019-04-03 12:59:17,Turmeric,oils/3ff9203cb065c3a7cd96a420646c6fe7.jpeg,F99101,Curcuma longa,Compelling,Certain,Dynamic,"Turmeric, or “sacred earth” in Latin, is renowned for a myriad of profound properties, including its powerful action against cancer and inflammation. On an energetic level, it cleanses chakras and energy fields and promotes feelings of prosperity.",,1,104,155,5,Comprimised,Assured,"La cúrcuma, o ""tierra sagrada"" en Latín, es reconocida por una infinidad de propiedades significativas, que incluyen su acción poderosa contra el cáncer y la inflamación. En un nivel energético, limpia chacras y campos de energía y promueve la sensación de prosperidad.","""Turmeric"" (açafrão), ou ""terra sagrada"" em latim, é conhecido por uma infinidade de propriedades intensas, incluindo a sua poderosa ação contra o câncer e inflamação. Em um nível energético, limpa os chakras e os campos de energia e promove sentimentos de prosperidade.",Apremiante,Específico,Dinámico,Convincente,Certo,Dinâmino,Comprometido,Seguro,,
64,2018-08-28 12:29:43,2019-04-03 12:59:29,Vetiver,oils/59e37f8ad3894cd2b3b037a7a74599fe.jpeg,B452A5,Vetiveria zizanioides,Regenerating,Reassuring,Enduring,"Vetiver is a natural tranquilizer, and in Ayurvedic medicine is known as the oil of “tranquility. ”",,0,2,156,6,Ungrounded,Rooted,"Vetiver es un tranquilizante natural, y en la medicina Ayurveda se conoce como el aceite de la ""tranquilidad"".","Vetiver é um tranquilizante natural, e na medicina ayurvédica é conhecido como o óleo da ""tranquilidade"".",Regenerador,Reafirmante,Duradero,Regenerar,Tranquilizante,Duradouro,Descentrado,Centrado,,
65,2018-08-28 12:29:43,2019-04-03 13:00:01,Wild Orange,oils/126eb8fdb7a6ed263ed4a2534a4915f0.jpeg,00B6B2,Citrus sinensis,Uplifting,Invigorating,Renewing,The Chinese first recognized the value of the peel of an orange for treating coughs and colds.,,0,37,158,7,Drained,Productive,Los chinos por primera vez reconocieron el valor de la cáscara de la naranja para tratar la tos y los resfriados.,Os chineses reconheceram pela primeira vez o valor da casca de uma laranja no tratamento de tosses e resfriados.,Motivador,Vigorizante,Renovador,Edificante,Revigorante,Renovar,Agotado,Productivo,,
66,2018-08-28 12:29:43,2019-04-03 13:00:16,Wintergreen,oils/c3619bf5fabe750d7c41f5b9bee421ca.jpeg,F37800,Gaultheria fragrantissima,Warming,Relieving,Repairing,"A naturally occurring compound found in wintergreen, “methyl salicylate” is related to the chemical that makes aspirin.",,0,25,159,8,Stubborn,Accepting,"Un compuesto de origen natural que se encuentra en la menta fresca, ""metil salicilato"" está relacionado con la sustancia química que compone la aspirina.","Um composto natural encontrado na gualtéria, o ""salicilato de metila"" está relacionado à substância química que produz a aspirina.",Cálido,Atenuante,Reparador,Reconfortar,Aliviar,Reparar,Difícil,Comprensivo,,
67,2018-08-28 12:29:43,2019-04-03 13:00:31,Yarrow,oils/83ac076f2d90c2c6d4cbdda977d86bb4.jpeg,D32500,Achillea millefolium,Purging,Relieving,Mending,"In ancient Greece, Achilles was said to use yarrow to ease a painful Achilles tendon.",,0,59,160,9,Invaded,Shielded,"En la antigua Grecia, se dijo que Aquiles usaba milenrama para calmar un tendón de Aquiles dolorido.","Na Grécia antiga, dizia-se que Aquiles usava yarrow para aliviar um doloroso tendão de Aquiles.",Purga,Atenuante,Reparador,Purgar,Aliviar,Reparar,Invadido,Protegido,,
68,2018-08-28 12:29:43,2019-04-03 13:00:46,Ylang Ylang,oils/47d17d57fa0602409efbb49c2647aa7c.jpeg,C8C814,Cananga Odorata,Calming,Floral,Soothing,"In Java, ylang ylang flowers adorn the newlyweds’ bed and are often used as an aphrodisiac.",,0,2,161,11,Burdened,Exuberent,"En Java, las flores ""ylang-ylang"" adornan los lechos de los recién casados y, por lo general, se usan como afrodisíaco.","Em Java, as flores de ylang ylang adornam a cama dos recém-casados e são frequentemente usadas como afrodisíaco.",Calmante,Floral,Calmante,Acalmar,Floral,Calmante,Agobiado,Exuberante,,
70,2018-08-30 19:41:54,2019-03-01 12:16:21,Cedarwood,oils/7e710a2e5207707256ddc68731803cfd.jpeg,9B5EB1,Juniperus virginiana,Connecting,Strong,Deep,Used by Native Americans for over 400 years to treat colds and fevers.,NULL,0,25,89,12,Alone,Connected,Los nativos americanos la utilizaron por más de 400 años para tratar resfriados y fiebre.,Usado por nativos americanos há mais de 400 anos para tratar resfriados e febres.,De conexión,Fuerte,Profundo,Conectar,Forte,Profundo,Solo,Conectado,,
71,2018-08-30 19:46:20,2019-03-01 12:16:54,Cinnamon,oils/be44114171e1eb789fb0f520c815900a.jpeg,E8926E,Cinnamomum zeylanicum,Protecting,Spicy,Awakening,"Used in biblical times and by the ancient Egyptians, cinnamon was often traded, but its origin was a closely guarded secret.",NULL,0,25,91,10,Denied,Receptive,"La canela, utilizada en los tiempos bíblicos y por los antiguos egipcios, en general se intercambiaba, pero su origen se mantuvo en absoluto secreto.","Usada nos tempos bíblicos e pelos antigos egípcios, a canela era frequentemente comercializada, mas sua origem era um segredo bem guardado.",Protector,Aromático,Revitalizador,Proteger,Picante,Despertar,Rechazado,Receptivo,,
72,2018-08-30 19:49:31,2019-04-03 12:50:19,Manuka,oils/aafdc3163e448db1a9843c99bc1ba8b1.jpeg,9054A6,Leptospermum scoparium,Supporting,Transforming,Harmonizing,The Maori people use all parts of this plant as part of their natural medicine.,NULL,0,2,126,13,Bothered,Revived,Los maoríes usan todas las partes de esta planta como parte de su medicina natural.,O povo Maori usa todas as partes desta planta como parte de sua medicina natural.,De refuerzo,Transformador,Armonizador,Apoiar,Transformar,Harmonizar,Molestado,Revivido,,
73,2018-08-30 20:08:34,2019-03-01 12:33:45,Green Mandarin,oils/6443a053bb090e12570e8a30b3f696e5.jpeg,9FC728,Citrus nobilis,Composing,Reclaiming,Resolving,"The fruit was offered to rulers in China as a show of respect, representing abundance and happiness during Chinese New Year celebrations.",NULL,1,37,112,14,Distressed,Carefree,"La fruta se ofreció a los gobernantes en China como una muestra de respeto, representando abundancia y felicidad durante las celebraciones del Nuevo Año Chino.","A fruta foi oferecida aos governantes na China como uma demonstração de respeito, representando a abundância e a felicidade durante as celebrações do Ano Novo Chinês.",Compuesto,Restaurador,Remediador,Compor,Corrigir,Resolução,Afligido,Tranquilo,,
74,2018-08-30 20:17:13,2019-03-01 12:39:02,Kumquat,oils/a108fb774a60b03eb10f276ca6dc1868.jpeg,E6801C,Fortunella japonica,Self-affirming,Sweet,Fulfilling,"Depending on the harvesting conditions, kumquat essential oil is anywhere from 70%-95% limonene, but of its other 105 known constituents, 46 have not been found in any other essential oil. The kumquat peel is sweet and flesh bitter, the reverse of most citrus fruits.",NULL,1,19,117,15,Divided,Integrous,"Según las condiciones de cosecha, el aceite esencial de quinoto es 70 a 90 % limoneno, pero de sus otros 105 constituyentes conocidos, 46 no se han hallado en ningún otro aceite esencial. La cáscara del quinoto es dulce y la pulpa es agria, al revés que en la mayoría de las frutas cítricas.","Dependendo das condições de colheita, o óleo essencial de laranja quincã é 70%-95% de limoneno, mas dos outros 105 constituintes conhecidos, 46 não foram encontrados em nenhum outro óleo essencial. A casca da laranja quincã é doce e amarga, ao contrário da maioria dos citrinos",Autoafirmante,Dulce,Gratificante,Autoafirmação,Doce,Pleno,Dividido,Integrado,,
75,2018-08-30 21:26:28,2019-04-03 12:55:08,Ravensara,oils/b6c701eb9e974245cc7b92c303f60676.jpeg,92BA1D,Ravensara aromatica,Reviving,Clearing,Relaxing,Ravensara is indigenous to Madagascar and has grown in popularity since the ‘80s.,NULL,0,2,141,16,Uncommited,Resolute,Ravensara es autóctona de Madagascar y su popularidad ha crecido desde los años 80.,Ravensara é nativa de Madagascar e tem crescido em popularidade desde os anos 80.,Reactivante,Purificante,Relajante,Reanimar,Desobstruir,Relaxante,No comprometido,Determinado,,
76,2018-08-30 21:28:47,2019-04-03 12:55:32,Red Mandarin,oils/b5156e9dcfeb97c06e0287c7ed55cb17.jpeg,C72F12,Citrus reticulate,Cleansing,Guided,Supported,"Mandarins are often confused with tangerines and although their taste and tree appearance are similar, mandarins are lighter, smoother, and easier to peel.",NULL,1,1,142,17,Troubled,Resilient,"Las mandarinas, en general, se confunden con las tangerinas y si bien su gusto y el aspecto del árbol son similares, las mandarinas son más suaves y más fáciles de pelar.","Os mandarins são frequentemente confundidos com tangerinas e, embora o seu sabor e aparência de árvore sejam semelhantes, as tangerinas são mais leves, mais suaves e mais fáceis de descascar.",De limpieza,Guiado,Apoyado,Limpeza,Guiado,Apoiado,Preocupado,Resistente,,
77,2018-08-30 21:32:00,2019-04-03 12:56:05,Rose,oils/626919f0e6b5712692587104b246e52f.jpeg,A47334,Rosa damascena,Intimate,Connecting,Radiant,"Known as the “queen of flowers”, it requires about 12,000 rose blossoms to make 1 5ml bottle.",NULL,0,2,144,18,Isolated,Loved,"Se conoce como la ""reina de las flores"" y requiere aproximadamente 12 000 capullos de rosas para elaborar una botella de 1,5 ml.","Conhecida como a ""rainha das flores"", são necessárias cerca de 12.000 flores de rosas para fazer um frasco de 5mL.",Íntimo,De conexión,Radiante,Íntimo,Conectar,Radiante,Excluido,Querido,,
